Date,Close,MA_20,MA_50
2024-07-31,82.75,90.575,98.325
2024-08-01,78.0,89.625,97.735
2024-08-02,72.5,88.4375,97.01
2024-08-05,70.0,87.35,96.355
2024-08-06,70.75,86.5125,95.67
2024-08-07,72.0,85.6875,94.95
2024-08-08,68.0,84.4375,94.155
2024-08-09,75.0,83.4375,93.605
2024-08-12,70.0,82.25,92.955
2024-08-13,71.25,81.3625,92.355
2024-08-14,80.0,81.2375,91.955
2024-08-15,83.75,80.725,91.58
2024-08-16,83.75,80.375,91.18
2024-08-19,87.5,80.2625,90.93
2024-08-20,90.0,80.2125,90.725
2024-08-21,87.5,79.0875,90.45
2024-08-22,87.5,79.25,90.18
2024-08-23,88.0,79.4,89.92
2024-08-26,88.0,79.4875,89.185
2024-08-27,91.75,79.9,88.91
2024-08-28,89.5,80.2375,88.645
2024-08-29,77.5,80.2125,88.07
2024-08-30,83.75,80.775,87.595
2024-09-03,76.25,81.0875,87.02
2024-09-04,77.5,81.425,86.48
2024-09-05,77.5,81.7,86.105
2024-09-06,77.25,82.1625,85.6
2024-09-09,78.5,82.3375,85.02
2024-09-10,77.5,82.7125,84.62
2024-09-11,84.75,83.3875,84.385
2024-09-12,76.0,83.1875,84.055
2024-09-13,88.5,83.425,83.885
2024-09-16,81.5,83.3125,83.59
2024-09-17,78.5,82.8625,83.325
2024-09-18,76.5,82.1875,83.105
2024-09-19,77.75,81.7,82.89
2024-09-20,77.5,81.2,82.58
2024-09-23,77.5,80.675,82.23
2024-09-24,80.5,80.3,81.965
2024-09-25,78.0,79.6125,81.745
2024-09-26,82.25,79.25,81.74
2024-09-27,82.5,79.5,81.51
2024-09-30,94.0,80.0125,81.575
2024-10-01,92.5,80.825,81.63
2024-10-02,98.75,81.8875,81.785
2024-10-03,95.0,82.7625,81.485
2024-10-04,98.75,83.8375,81.775
2024-10-07,94.5,84.6375,81.965
2024-10-08,88.25,85.175,82.005
2024-10-09,85.0,85.1875,82.035
2024-10-10,87.5,85.7625,82.13
2024-10-11,91.25,85.9,82.395
2024-10-14,99.75,86.8125,82.94
2024-10-15,102.5,88.0125,83.59
2024-10-16,97.5,89.0625,84.125
2024-10-17,102.75,90.3125,84.74
2024-10-18,96.25,91.25,85.305
2024-10-21,92.5,92.0,85.655
2024-10-22,86.0,92.275,85.975
2024-10-23,84.5,92.6,86.24
